mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation_time,qualifica,3descrizione
3,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,AV,14,33,18,202301,2025-06-18,Dirigente,MINISTERO DELL'ISTRUZIONE E DEL MERITO
11,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,AQ,12,0,3,202411,2025-06-18,Unknown,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
1,2023,22,AGENZIA DELLE ENTRATE,RC,17,0,5,202312,2025-06-18,Impiegato,AGENZIA DELLE ENTRATE
7,2023,9,Unknown,CR,3,2,1,202301,2025-06-18,Operatore,MINISTERO DELLA GIUSTIZIA
11,2024,9,MINISTERO DELLA GIUSTIZIA,FC,7,3,2,202411,2025-06-18,Operatore,MINISTERO DELLA GIUSTIZIA
9,2024,14,MINISTERO DELLA CULTURA,CR,3,2,0,202409,2025-06-18,Unknown,MINISTERO DELLA CULTURA
12,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,LI,8,138,183,202412,2025-06-18,Unknown,MINISTERO DELL'ISTRUZIONE E DEL MERITO
6,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,PE,12,9,2340,202406,2025-06-18,Dirigente,MINISTERO DELL'ISTRUZIONE E DEL MERITO
8,2024,22,AGENZIA DELLE ENTRATE,SI,8,0,2,202408,2025-06-18,Funzionario,AGENZIA DELLE ENTRATE
10,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,VV,17,165,21,202410,2025-06-18,Unknown,MINISTERO DELL'ISTRUZIONE E DEL MERITO
11,2023,19,MINISTERO UNIVERSITA' E RICERCA,AG,18,35,3,202311,2025-06-18,Dirigente,MINISTERO UNIVERSITA' E RICERCA
2,2023,19,MINISTERO UNIVERSITA' E RICERCA,AQ,12,12,2,202302,2025-06-18,Funzionario,MINISTERO UNIVERSITA' E RICERCA
2,2024,22,AGENZIA DELLE ENTRATE,PG,9,7,3,202402,2025-06-18,Dirigente,AGENZIA DELLE ENTRATE
8,2024,19,MINISTERO UNIVERSITA' E RICERCA,Unknown,11,7,481,202408,2025-06-18,Dirigente,MINISTERO UNIVERSITA' E RICERCA
6,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,BA,15,15,7782,202406,2025-06-18,Unknown,MINISTERO DELL'ISTRUZIONE E DEL MERITO
5,2023,9,MINISTERO DELLA GIUSTIZIA,TA,15,16,1,202305,2025-06-18,Operatore,MINISTERO DELLA GIUSTIZIA
6,2023,9,MINISTERO DELLA GIUSTIZIA,TV,4,4,3,202306,2025-06-18,Dirigente,MINISTERO DELLA GIUSTIZIA
5,2024,18,CORTE DEI CONTI,CZ,17,0,2,202405,2025-06-18,Unknown,CORTE DEI CONTI
8,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,RE,7,138,2223,202408,2025-06-18,Dirigente,MINISTERO DELL'ISTRUZIONE E DEL MERITO
7,2022,22,AGENZIA DELLE ENTRATE,BO,7,2,3,202312,2025-06-18,Unknown,AGENZIA DELLE ENTRATE
12,2023,19,MINISTERO UNIVERSITA' E RICERCA,CL,18,5,3,202312,2025-06-18,Impiegato,MINISTERO UNIVERSITA' E RICERCA
5,2024,19,MINISTERO UNIVERSITA' E RICERCA,MS,8,130,0,202405,2025-06-18,Funzionario,MINISTERO UNIVERSITA' E RICERCA
7,2023,22,Unknown,PI,8,0,1,202307,2025-06-18,Dirigente,AGENZIA DELLE ENTRATE
9,2023,954,ISPETTORATO NAZIONALE DEL LAVORO,MO,7,2,0,202309,2025-06-18,Impiegato,ISPETTORATO NAZIONALE DEL LAVORO
2,2024,1717,GUARDIA DI FINANZA,RM,11,43,222,202402,2025-06-18,Impiegato,GUARDIA DI FINANZA
11,2023,22,AGENZIA DELLE ENTRATE,TR,9,1,1,202311,2025-06-18,Dirigente,AGENZIA DELLE ENTRATE
11,2023,22,AGENZIA DELLE ENTRATE,PC,10,1,1,202311,2025-06-18,Unknown,AGENZIA DELLE ENTRATE
9,2023,2020,Unknown,GO,5,0,2,202309,2025-06-18,Unknown,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
6,2024,22,AGENZIA DELLE ENTRATE,LI,8,31,3,202406,2025-06-18,Dirigente,AGENZIA DELLE ENTRATE
4,2023,9,MINISTERO DELLA GIUSTIZIA,SV,6,0,1,202304,2025-06-18,Dirigente,MINISTERO DELLA GIUSTIZIA
3,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,SP,6,0,2,202303,2025-06-18,Impiegato,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
10,2023,1,MINISTERO DELL'ECONOMIA E FINANZE,TA,15,0,1,202310,2025-06-18,Unknown,MINISTERO DELL'ECONOMIA E FINANZE
9,2024,9,MINISTERO DELLA GIUSTIZIA,TE,12,1,4,202409,2025-06-18,Operatore,MINISTERO DELLA GIUSTIZIA
6,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,AQ,12,24,2865,202306,2025-06-18,Funzionario,MINISTERO DELL'ISTRUZIONE E DEL MERITO
4,2024,9,MINISTERO DELLA GIUSTIZIA,LE,15,0,8,202404,2025-06-18,Operatore,MINISTERO DELLA GIUSTIZIA
7,2023,954,ISPETTORATO NAZIONALE DEL LAVORO,AV,14,7,2,202307,2025-06-18,Funzionario,ISPETTORATO NAZIONALE DEL LAVORO
6,2023,9,MINISTERO DELLA GIUSTIZIA,PD,4,0,6,202306,2025-06-18,Dirigente,MINISTERO DELLA GIUSTIZIA
3,2023,22,Unknown,BS,3,1,0,202303,2025-06-18,Unknown,AGENZIA DELLE ENTRATE
9,2024,22,AGENZIA DELLE ENTRATE,FR,11,4,0,202312,2025-06-18,Operatore,AGENZIA DELLE ENTRATE
12,2024,19,MINISTERO UNIVERSITA' E RICERCA,VE,4,240,427,202412,2025-06-18,Unknown,MINISTERO UNIVERSITA' E RICERCA
2,2024,954,ISPETTORATO NAZIONALE DEL LAVORO,RC,17,0,1,202402,2025-06-18,Funzionario,ISPETTORATO NAZIONALE DEL LAVORO
6,2023,22,AGENZIA DELLE ENTRATE,LO,3,1,0,202306,2025-06-18,Operatore,AGENZIA DELLE ENTRATE
